ears,10
earth,10
endeavoured,10
enquiry,10
exert,10
expenses,10
exquisite,10
failed,10
fan,10
fashion,10
favourable,10
formerly,10
gentleness,10
gradually,10
gratification,10
habits,10
happens,10
happily,10
harm,10
harris,10
hitherto,10
hot,10
human,10
idle,10
improve,10
indisposition,10
insensible,10
kindly,10
knave,10
lasted,10
liberality,10
lines,10
lover,10
luck,10
luckily,10
madam,10
mansion,10
master,10
memory,10
missed,10
moral,10
moving,10
neighbours,10
november,10
offering,10
ourselves,10
