reasoned,2
reckoning,2
recognised,2
recognition,2
recommendations,2
rectory,2
recurred,2
reductions,2
referred,2
refinement,2
reflected,2
reflecting,2
reformation,2
refrain,2
refreshments,2
refusing,2
regain,2
regards,2
regulated,2
regulations,2
rejoinder,2
relenting,2
relinquishing,2
reluctant,2
reluctantly,2
relying,2
remedies,2
reminding,2
remorse,2
renewal,2
repaid,2
repeats,2
repent,2
repentance,2
reports,2
representations,2
reprimand,2
reproached,2
reproaching,2
repulsive,2
requisite,2
reseated,2
resembling,2
resented,2
resenting,2
resettled,2
