pool,11
positive,11
precious,11
proposed,11
prudent,11
reasonably,11
recollected,11
recommend,11
recovering,11
red,11
reflect,11
refused,11
rejoiced,11
resentment,11
reserve,11
rising,11
risk,11
road,11
roof,11
ruin,11
secrecy,11
seeking,11
sharp,11
shirley,11
shocking,11
shop,11
similar,11
sincerely,11
slowly,11
soldiers,11
strangers,11
suited,11
sum,11
theirs,11
tis,11
today,11
twelvemonth,11
uneasiness,11
unfortunately,11
unlike,11
urged,11
valley,11
valuable,11
visits,11
wasn,11
wherever,11
