stamping,2
stares,2
starting,2
starved,2
statement,2
states,2
stayed,2
stays,2
steadfast,2
stealing,2
stock,2
stoop,2
stories,2
storms,2
stretch,2
striving,2
strolling,2
struggled,2
struggling,2
studiously,2
subjection,2
submissive,2
submitting,2
subsequent,2
substantial,2
successful,2
successive,2
sufferer,2
suffers,2
suffice,2
suggesting,2
suggestions,2
suits,2
sulkily,2
summits,2
summoned,2
sunshine,2
supplanted,2
supplication,2
supporting,2
surpassing,2
surprises,2
survey,2
suspension,2
swallow,2
swallowed,2
