record,1
recoverable,1
recreating,1
rectitude,1
rector,1
recurrence,1
recurring,1
reddened,1
reddening,1
redeem,1
reduce,1
reduction,1
reeds,1
reeling,1
refer,1
referring,1
refinements,1
reform,1
reformed,1
refresh,1
refreshed,1
refreshing,1
refreshment,1
refutation,1
refute,1
regaling,1
regiment,1
regularity,1
regulate,1
regulating,1
reigning,1
reined,1
reins,1
rejoined,1
relapse,1
relatives,1
relators,1
relent,1
reliance,1
relics,1
religion,1
religious,1
relinquished,1
relinquishment,1
relish,1
remedy,1
