abhorred,2
abide,2
abstraction,2
accidental,2
accomplish,2
accosted,2
accurately,2
accusation,2
accuse,2
aching,2
acknowledgement,2
activity,2
acts,2
acute,2
acuteness,2
adapted,2
additions,2
admittance,2
adorned,2
advancement,2
advances,2
advising,2
affability,2
affable,2
affectedly,2
affronting,2
agonies,2
agreeing,2
ailment,2
ailments,2
aimed,2
airs,2
alicia,2
allusion,2
altar,2
alterations,2
altering,2
amazingly,2
animal,2
animating,2
annexed,2
annihilation,2
answerable,2
answering,2
anticipate,2
anticipation,2
